# {"t_start": 1562379674.2381608, "env_id": "InvertedPendulumGP-v2"} 
r,c,violation,l,t
9.0,-5.1266,0,9,2.266221
5.0,-0.178243,0,5,2.275464
5.0,-0.944877,0,5,2.284719
7.0,-3.821117,0,7,2.297889
6.0,-2.328169,0,6,2.309322
7.0,-1.082543,0,7,2.32273
6.0,-1.805558,0,6,2.334162
6.0,-0.101087,0,6,2.346249
7.0,-3.26243,0,7,2.359849
8.0,-2.324631,0,8,2.375096
4.0,-0.057302,0,4,2.382813
13.0,-4.504515,0,13,2.407393
7.0,-1.94797,0,7,2.420775
6.0,-0.10583,0,6,2.432948
4.0,-2.818112,0,4,2.440925
4.0,-1.435186,0,4,2.448725
4.0,-0.815165,0,4,2.456488
5.0,-5.552832,0,5,2.466067
7.0,-1.646619,0,7,2.479437
7.0,-1.956311,0,7,2.492797
6.0,-3.432571,0,6,2.50424
4.0,-1.900611,0,4,2.51196
7.0,-0.124558,0,7,2.526256
4.0,-2.823915,0,4,2.534052
4.0,-0.286205,0,4,2.541859
4.0,-4.387759,0,4,2.549618
8.0,-0.058214,0,8,2.565996
4.0,-1.453184,0,4,2.573788
11.0,-3.49335,0,11,2.594685
4.0,-2.390732,0,4,2.602364
6.0,-1.450282,0,6,2.614002
5.0,-3.513818,0,5,2.623657
6.0,-0.088176,0,6,2.635781
7.0,-2.247739,0,7,2.649523
7.0,-3.177177,0,7,2.662945
10.0,-2.604632,0,10,2.681898
10.0,-0.046711,0,10,2.701808
7.0,-0.05295,0,7,2.716176
6.0,-0.563453,0,6,2.728367
12.0,-0.7513,0,12,2.752861
7.0,-0.226651,0,7,2.767501
4.0,-0.451846,0,4,2.775604
4.0,-3.375482,0,4,2.783454
5.0,-0.346385,0,5,2.794677
7.0,-0.060491,0,7,2.809612
8.0,-0.283919,0,8,2.826175
16.0,-4.523404,0,16,2.857678
7.0,-3.710775,0,7,2.871624
7.0,-3.695156,0,7,2.885746
13.0,-0.359005,0,13,2.91452
4.0,-0.177934,0,4,2.923077
6.0,-5.252085,0,6,2.934765
5.0,-3.378432,0,5,2.944856
9.0,-4.137134,0,9,2.962907
7.0,-0.153175,0,7,2.978068
4.0,-0.011926,0,4,2.986422
6.0,-1.159283,0,6,2.998447
6.0,-2.529692,0,6,3.010065
5.0,-0.066287,0,5,3.021265
5.0,-0.540043,0,5,3.031254
14.0,-0.13817,0,14,3.062032
4.0,-4.119745,0,4,3.069686
10.0,-1.354808,0,10,3.089996
5.0,-0.691906,0,5,3.100514
7.0,-1.216936,0,7,3.114301
7.0,-0.216685,0,7,3.130146
