# {"t_start": 1562341552.4766877, "env_id": "InvertedPendulumBL-v2"} 
r,violation,l,t
2.0,0,2,1.558908
3.0,0,3,1.564852
4.0,0,4,1.57329
3.0,0,3,1.582985
2.0,0,2,1.587871
5.0,0,5,1.603672
2.0,0,2,1.608948
10.0,0,10,1.627733
16.0,0,16,1.649241
7.0,0,7,1.661158
3.0,0,3,1.668
2.0,0,2,1.672577
2.0,0,2,1.681163
2.0,0,2,1.6872
2.0,0,2,1.691451
4.0,0,4,1.698022
3.0,0,3,1.703732
5.0,0,5,1.714077
4.0,0,4,1.721569
5.0,0,5,1.731034
3.0,0,3,1.736735
2.0,0,2,1.740578
3.0,0,3,1.74631
3.0,0,3,1.751889
15.0,0,15,1.774682
2.0,0,2,1.78335
3.0,0,3,1.79102
2.0,0,2,1.795826
2.0,0,2,1.799872
3.0,0,3,1.805973
3.0,0,3,1.812166
3.0,0,3,1.818782
3.0,0,3,1.825379
2.0,0,2,1.830121
4.0,0,4,1.836795
3.0,0,3,1.841767
3.0,0,3,1.846291
11.0,0,11,1.864289
3.0,0,3,1.870636
2.0,0,2,1.875943
3.0,0,3,1.886196
3.0,0,3,1.892979
3.0,0,3,1.89921
5.0,0,5,1.910619
3.0,0,3,1.916367
5.0,0,5,1.924309
4.0,0,4,1.930709
3.0,0,3,1.935519
4.0,0,4,1.941305
2.0,0,2,1.944727
2.0,0,2,1.948129
3.0,0,3,1.953315
8.0,0,8,1.967258
3.0,0,3,1.974127
7.0,0,7,1.994909
2.0,0,2,2.000332
2.0,0,2,2.004686
34.0,0,34,2.058975
2.0,0,2,2.062976
3.0,0,3,2.068203
3.0,0,3,2.073391
3.0,0,3,2.0787
2.0,0,2,2.082347
3.0,0,3,2.08762
3.0,0,3,2.099373
3.0,0,3,2.106154
3.0,0,3,2.112133
2.0,0,2,2.118646
8.0,0,8,2.134335
2.0,0,2,2.138118
2.0,0,2,2.141863
3.0,0,3,2.147144
2.0,0,2,2.151189
7.0,0,7,2.1627
2.0,0,2,2.168355
2.0,0,2,2.172086
3.0,0,3,2.177143
3.0,0,3,2.182565
3.0,0,3,2.188799
4.0,0,4,2.200348
7.0,0,7,2.217248
51.0,0,51,2.30694
4.0,0,4,2.314372
3.0,0,3,2.319329
3.0,0,3,2.325934
3.0,0,3,2.334568
4.0,0,4,2.342
3.0,0,3,2.347577
4.0,0,4,2.354305
5.0,0,5,2.366013
5.0,0,5,2.375795
3.0,0,3,2.381273
19.0,0,19,2.419252
3.0,0,3,2.426122
3.0,0,3,2.431588
3.0,0,3,2.437139
7.0,0,7,2.448081
2.0,0,2,2.451775
9.0,0,9,2.466127
2.0,0,2,2.472232
3.0,0,3,2.479689
2.0,0,2,2.484109
8.0,0,8,2.498943
12.0,0,12,2.526392
2.0,0,2,2.532502
2.0,0,2,2.537067
2.0,0,2,2.54177
3.0,0,3,2.548681
12.0,0,12,2.57223
2.0,0,2,2.57701
26.0,0,26,2.633251
3.0,0,3,2.638999
3.0,0,3,2.646194
5.0,0,5,2.655104
11.0,0,11,2.674876
15.0,0,15,2.699784
2.0,0,2,2.703731
9.0,0,9,2.723944
3.0,0,3,2.730486
3.0,0,3,2.737124
5.0,0,5,2.747035
6.0,0,6,2.757469
3.0,0,3,2.762714
3.0,0,3,2.768069
3.0,0,3,2.775109
2.0,0,2,2.779244
3.0,0,3,2.785187
5.0,0,5,2.799377
25.0,0,25,2.850962
3.0,0,3,2.857176
3.0,0,3,2.862858
3.0,0,3,2.868456
4.0,0,4,2.875683
2.0,0,2,2.879944
2.0,0,2,2.884599
4.0,0,4,2.892653
6.0,0,6,2.909837
3.0,0,3,2.916432
3.0,0,3,2.926576
27.0,0,27,2.981545
3.0,0,3,2.988262
