# {"t_start": 1561584546.9598482, "env_id": "HopperBL-v2"} 
r,l,t
0.281281,9,2.452481
2.76831,6,2.571455
24.398442,47,2.664085
5.585286,12,2.689113
-1.130903,18,2.719229
5.358764,10,2.741657
3.643065,7,2.763777
3.330932,6,2.775828
3.200145,6,2.788282
3.343704,6,2.801281
4.199711,8,2.816115
4.436734,7,2.831823
1.397153,13,2.863526
20.676835,15,2.892977
5.016236,7,2.907656
4.261752,7,2.922773
8.783027,9,2.948424
47.925253,29,3.009699
7.268399,8,3.024127
4.243108,8,3.039536
5.315119,7,3.053938
4.972783,10,3.0762
6.851008,11,3.100535
2.428416,6,3.114259
3.782111,7,3.130806
66.290666,41,3.218725
7.433769,9,3.239982
4.966554,7,3.257912
5.016402,9,3.276708
80.737297,44,3.370411
0.572226,10,3.39243
7.071347,19,3.434122
2.720191,6,3.447791
5.077911,7,3.463776
77.28308,45,3.560247
4.293401,6,3.574109
179.882037,209,4.023301
0.261033,9,4.043384
10.100309,11,4.067277
0.447115,10,4.090151
43.978621,32,4.158525
4.798973,7,4.174662
7.077969,11,4.198472
0.7298,10,4.220227
1.821323,6,4.233974
49.148863,30,4.301815
6.917855,8,4.319866
51.599358,29,4.384868
10.946886,13,4.415014
-1.75724,18,4.455288
2.600562,6,4.469793
1.866233,6,4.484288
0.513169,15,4.51793
5.757089,7,4.534338
4.290686,9,4.555204
3.098392,6,4.568918
4.600589,7,4.585071
2.770791,10,4.608126
0.385899,9,4.632585
3.90181,7,4.649435
2.27045,13,4.678438
1.693991,12,4.707892
5.334473,10,5.206438
-1.081287,17,5.242807
-1.266111,18,5.281461
3.621028,7,5.297129
5.783732,7,5.312825
2.523938,7,5.328733
2.173125,6,5.342351
2.998275,6,5.356357
46.637468,29,5.419915
12.584158,21,5.466352
0.60179,9,5.487002
-0.03486,10,5.509582
0.610032,9,5.529761
5.351681,10,5.551769
5.339566,8,5.569553
0.280698,10,5.591812
38.632703,22,5.637941
40.77551,29,5.6995
1.947971,23,5.751447
57.071939,35,5.820505
0.186501,19,5.857594
51.997685,42,5.937849
1.528633,9,5.955791
2.35572,6,5.968415
5.80437,7,5.982412
8.364896,12,6.009825
5.819221,7,6.025197
-0.21431,21,6.067851
45.016555,28,6.125921
12.607758,11,6.149767
43.868021,30,6.213552
2.607395,6,6.227291
40.175601,23,6.275933
6.012051,7,6.291875
2.810202,24,6.34297
0.526984,20,6.385737
8.32698,35,6.460299
88.382256,49,6.566811
0.890473,11,7.418432
56.753684,35,7.594891
66.549607,37,7.673412
7.122534,9,7.69341
19.14645,48,7.792328
12.792514,21,7.837416
3.763511,6,7.85109
5.401234,7,7.866813
3.036167,7,7.882856
3.079996,11,7.907015
38.777955,22,7.954151
4.753999,10,7.976926
46.286246,28,8.037178
5.297089,10,8.059294
5.014737,10,8.081921
4.900713,10,8.104095
-1.014307,18,8.142641
5.047597,7,8.158486
-0.806565,17,8.196004
4.16696,10,8.218165
5.296412,10,8.240337
38.618054,22,8.672792
5.164725,7,8.691355
7.396746,11,8.719229
5.808254,7,8.736589
48.402421,35,8.81601
45.047276,27,8.876843
35.510698,20,8.919554
7.53419,11,8.947088
0.25688,9,8.968953
5.31588,10,8.992407
5.400276,10,9.016176
38.383647,22,9.067283
15.001861,12,9.095243
14.320503,12,9.122716
2.366528,8,9.141904
16.567526,16,9.178603
7.487075,8,9.198089
0.201267,9,9.216898
8.654474,9,9.236427
3.751217,6,9.249838
-1.193682,17,9.287353
-1.840276,19,9.328335
39.033004,22,9.37491
6.219254,10,9.396654
40.492768,23,9.445349
5.324104,10,9.466214
5.85725,11,9.489057
1.76507,7,9.503643
-0.923729,18,9.541325
3.461496,7,9.556953
76.228467,44,9.647508
8.702213,9,9.666899
5.861779,7,9.681897
12.964759,11,9.705414
9.153623,10,9.726876
36.290549,21,9.770062
35.70451,27,9.827012
128.842609,65,9.964354
83.875997,56,10.079743
3.104655,6,10.093129
15.013853,14,10.128623
8.694229,9,10.155559
2.998063,6,10.172197
5.339875,10,10.195845
10.144941,10,10.217385
8.850792,9,10.237524
5.916138,7,10.253075
47.901649,29,10.31454
10.221815,30,10.377117
38.344143,22,10.423126
2.714995,11,10.447037
-1.45024,18,10.485504
2.906169,6,10.498958
3.088718,6,10.512408
3.090657,6,10.525485
8.490787,27,10.581442
38.316584,22,10.627677
4.023225,8,10.645323
2.225302,21,10.69019
30.663294,25,10.742263
8.962842,10,10.764325
-0.954934,18,10.802729
32.928853,27,11.228526
3.912246,6,11.242228
60.52269,35,11.324519
6.053833,30,11.391052
66.305944,41,11.484025
2.664505,6,11.499426
40.23682,23,11.558211
38.831828,22,11.608167
26.300214,21,11.66155
-0.909208,17,11.700614
6.018534,7,11.720467
3.472573,7,11.735358
5.868702,7,11.750561
2.7857,25,11.802784
85.025417,48,11.900537
79.562141,44,11.997279
3.626185,7,12.013231
-0.627673,18,13.24986
5.923488,7,13.429465
48.336614,29,13.493691
5.753206,7,13.509593
-1.622324,18,13.54759
49.241749,28,13.607427
80.204839,43,13.704778
3.780076,7,13.722179
5.831744,7,13.740057
38.893041,22,13.793675
5.287429,10,13.815158
7.027375,8,13.832427
46.968328,30,13.895597
-0.254224,12,13.921638
38.818426,22,13.968738
38.950217,22,14.015972
42.56067,24,14.067511
8.467211,37,14.151275
5.766716,10,14.173633
100.622761,70,14.322951
38.415711,22,14.371864
40.475931,23,14.42463
38.246221,22,14.473439
0.285368,20,14.517579
6.441052,8,14.535679
4.140335,7,14.551322
38.896599,22,14.599445
38.38391,22,14.647555
3.60994,7,14.663525
-1.323526,18,14.703127
38.421105,22,14.752735
38.889877,22,14.80305
6.176817,10,15.201446
-0.988921,18,15.242895
-1.565311,18,15.284937
38.658057,22,15.326396
3.568969,7,15.340152
5.897877,31,15.396493
5.865126,7,15.409701
-1.392613,18,15.445146
65.032121,39,15.516581
38.607005,22,15.555452
7.231005,11,15.575031
5.889507,7,15.587998
-1.611594,18,15.619607
5.335433,7,15.632436
3.72081,10,15.650692
2.854376,6,15.662092
5.685542,7,15.674881
0.616294,11,15.694702
-1.325842,18,15.72634
38.914504,22,15.76489
40.344047,23,15.800953
4.370467,9,15.815353
105.388006,94,15.974822
-0.965944,17,16.004272
39.819823,23,16.042503
5.750842,7,16.054738
38.324026,22,16.090898
46.879465,27,16.137627
9.912328,38,16.205488
38.496293,22,16.248067
6.711949,11,16.268729
5.988443,7,16.282068
41.375679,24,16.325149
46.932409,28,16.373482
-1.499855,18,16.403955
5.870513,7,16.41653
38.795282,22,16.453668
37.097102,21,16.489436
38.553644,22,16.526551
38.956833,22,16.563824
5.835902,7,16.576239
5.872831,7,16.589053
44.211913,32,16.642594
8.812617,9,16.658453
3.728128,6,16.669223
38.520761,22,16.70633
36.973966,21,16.743202
4.364591,10,16.757958
39.17346,22,16.789842
3.851335,8,16.803211
5.159552,9,16.81849
5.940532,7,16.830812
69.215647,38,16.893827
5.98237,7,16.906688
4.488039,7,16.919144
36.875059,21,17.274853
38.925387,22,17.311838
38.27256,22,17.348155
21.003107,15,17.373656
7.389956,36,17.433739
7.18354,8,17.447931
39.103367,22,17.484826
89.666578,53,17.575619
3.137125,6,17.58629
42.127943,24,17.626422
38.435128,22,17.663558
2.189041,9,17.6793
44.660534,27,17.724305
10.790289,10,18.505874
34.674039,20,18.640997
38.355396,22,18.683457
64.525929,36,18.762226
51.179145,31,18.825999
5.786009,7,18.841301
40.964064,23,18.889367
38.835143,22,18.935243
7.293335,10,18.956938
38.29163,22,19.005814
6.319515,10,19.028603
39.015018,22,19.077394
38.393721,22,19.126468
1022.393187,1000,21.664358
38.871433,22,21.713152
38.481036,22,21.761214
82.188413,45,21.856956
5.14036,7,21.872888
39.013994,22,21.922265
-1.355645,18,21.95883
31.240744,44,22.046601
71.398321,39,22.127211
1.944279,13,22.153743
0.330151,10,22.17847
38.699535,22,22.229188
-1.536719,18,22.266984
5.795998,7,22.282969
37.111093,21,22.329004
5.896282,7,22.344699
36.849424,21,22.393668
40.538596,23,22.447059
-1.203871,18,22.487901
38.3591,22,22.536985
5.897513,7,22.555724
26.600354,56,22.675869
38.39701,22,23.093931
38.296938,22,23.13991
5.887839,7,23.155227
40.509743,23,23.204401
5.271107,10,23.226349
36.933306,21,23.272351
38.85933,22,23.320166
38.907412,22,23.367601
5.834544,7,23.383553
52.098589,32,23.453573
5.826096,7,23.46968
4.005838,29,23.532398
38.576469,22,23.584762
4.136844,8,23.606436
32.070123,64,23.753063
-1.726506,18,23.795949
38.413197,22,23.848376
66.459706,42,23.940954
40.101312,23,23.990068
7.120932,11,24.013712
67.120156,37,24.091055
40.19055,23,24.139045
38.367615,22,24.185984
46.320068,28,24.245151
38.691502,22,24.293037
63.895752,39,24.376566
3.967955,9,24.39644
38.88485,22,24.443152
38.281503,22,24.494954
-0.462814,18,24.534618
0.811107,9,24.554576
38.939472,22,24.600154
40.396806,23,24.648275
38.842778,22,24.69084
3.721412,7,24.705487
7.911997,11,24.729121
40.19654,23,24.785082
37.002354,21,24.826809
38.745543,22,24.869393
0.779915,9,24.887153
38.590436,22,24.928099
5.935882,7,24.943833
40.196631,23,24.999419
5.819463,7,25.01647
43.274947,32,25.086198
37.217285,21,25.132933
40.505179,23,25.183698
38.7147,22,25.233171
38.90781,22,25.661473
-1.75924,18,25.702642
55.921846,34,25.777765
38.521377,22,25.831076
5.797139,7,25.847828
38.169881,22,25.898132
-1.810094,18,25.939461
3.573033,7,25.955395
38.903061,22,26.004447
58.590938,35,26.082778
5.769925,7,26.098852
36.919524,21,26.146402
43.775032,26,26.204718
66.244694,38,26.289718
37.101013,21,26.335718
38.66545,22,26.388514
112.007656,64,26.528772
38.683104,22,28.04726
37.131734,21,28.29434
40.209449,23,28.345383
5.929396,7,28.362618
40.325836,23,28.41473
50.332767,28,28.477525
22.445733,23,28.529828
1020.813254,1000,31.124222
40.305902,23,31.1738
38.635365,22,31.221526
40.218433,23,31.271242
38.685576,22,31.319652
38.381642,22,31.367499
39.068133,22,31.415447
38.497008,22,31.463696
0.838357,21,31.510199
-1.022245,20,31.557055
38.95823,22,31.612225
38.767512,22,31.66575
38.885949,22,31.717976
38.67507,22,31.769244
5.441234,10,31.79247
40.497763,23,31.843248
5.313903,10,31.86592
-0.360666,19,31.908699
17.196902,13,31.938179
40.14535,23,31.989234
39.051304,22,32.038197
4.797895,7,32.055077
3.096112,6,32.068967
63.831649,35,32.146314
5.989644,7,32.549703
38.699884,22,32.600605
5.94093,7,32.617141
37.002883,21,32.663602
38.435986,22,32.719048
43.055398,33,32.791968
38.693666,22,32.841388
5.272917,10,32.864438
-0.104477,9,32.884617
-1.676671,18,32.924534
38.573813,22,32.97383
104.201097,134,33.279672
38.823971,22,33.334615
-1.658372,18,33.375603
5.778155,7,33.391722
64.576438,40,33.478713
7.605482,28,33.539783
38.475002,22,33.591255
5.382348,10,33.617439
36.624552,21,33.66805
36.777171,21,33.717955
38.530564,22,33.772411
2.953477,25,33.832587
38.437453,22,33.887792
40.243249,23,33.940465
37.098595,21,33.988007
8.389336,30,34.055089
-1.612994,18,34.095523
36.983466,21,34.142061
5.335854,10,34.165127
43.721967,25,34.221979
60.692822,37,34.304308
38.299288,22,34.350204
40.207695,23,34.399116
38.593429,22,34.446006
40.535405,23,34.495465
5.781295,7,34.511586
5.801145,7,34.52741
5.777092,7,34.543599
278.184757,308,35.61699
39.006702,22,35.665222
-0.090126,20,35.708229
38.539219,22,35.754698
5.768786,7,35.770234
40.106663,23,35.82047
38.813844,22,35.867549
19.128871,18,35.90628
39.130007,22,35.955792
39.085287,22,36.007121
38.25163,22,36.058778
4.035341,27,36.121338
38.925001,22,36.172145
37.316072,21,36.217674
39.001794,22,36.265264
0.298923,9,36.285408
38.831262,22,36.334218
38.692109,22,36.381948
35.120026,20,36.426323
38.741621,22,36.473885
38.515472,22,36.525181
38.553058,22,36.57716
1.24894,9,36.598738
40.229867,23,36.652001
242.222712,126,36.948494
18.992973,14,36.982438
38.302001,22,37.033411
40.179055,23,37.08262
46.738431,28,37.142812
64.772822,40,37.228981
38.177943,22,38.725147
7.806013,11,38.967811
7.337564,11,38.997048
40.280464,23,39.049419
38.40988,22,39.097185
38.903247,22,39.514959
3.081833,6,39.529194
66.669521,41,39.620538
38.34223,22,39.670636
39.915233,23,39.722879
54.486886,30,39.790984
38.595319,22,39.84088
38.491436,22,39.889439
8.642134,11,39.91399
38.876158,22,39.961759
52.707575,42,40.052217
38.532483,22,40.099671
44.350239,25,40.15306
8.402837,12,40.179706
38.737949,22,40.228018
38.851412,22,40.275393
38.715408,22,40.322594
36.874095,21,40.367447
10.906805,13,40.396454
38.497012,22,40.45189
40.242754,23,40.50146
-1.616612,18,40.539107
5.765739,7,40.554385
7.220165,11,40.577145
38.391383,22,40.621486
5.674595,10,40.642261
38.742318,22,40.687451
37.096897,21,40.730751
5.234041,10,40.752264
46.145715,26,40.808446
38.660637,22,40.857732
5.9186,7,40.873697
38.500337,22,40.922086
36.795652,21,40.971676
39.257227,22,41.021784
40.270553,23,41.075804
-1.964141,18,41.117801
38.302531,22,41.172339
38.454169,22,41.224552
38.665898,22,41.276643
3.782458,7,41.296489
38.472577,22,41.345849
38.700586,22,41.39589
53.387,31,41.46675
8.859961,12,41.4989
5.836327,7,41.517176
46.027437,33,41.600337
40.630405,30,41.674106
5.303341,10,41.697462
7.427899,8,41.716274
0.213561,9,41.73678
39.037217,22,42.187855
5.340326,30,42.256091
48.91968,28,42.322806
-0.915618,17,42.362716
38.116472,22,42.412292
4.755423,7,42.428427
38.337274,22,42.476768
7.46247,8,42.494691
20.395007,16,42.528802
43.913773,25,42.582205
46.921156,34,42.655877
88.751956,52,42.7651
5.679456,7,42.781508
5.746004,7,42.798461
36.707669,21,42.845716
36.87216,21,42.891201
-0.758709,17,42.928067
5.656233,11,42.952089
-1.176207,18,42.991798
47.529992,27,43.050853
70.994119,44,43.148319
5.287462,10,43.17136
38.722966,22,43.220309
34.535335,20,43.264893
3.585234,7,43.281733
10.41921,10,43.304155
5.93377,7,43.320579
3.365004,6,43.334464
38.577739,22,43.382256
39.005934,22,43.433593
51.624783,31,43.504979
38.982513,22,43.554494
38.587635,22,43.604778
1.270405,14,43.636922
12.323157,32,43.703731
3.642253,7,43.719269
38.826626,22,43.766444
5.257774,10,43.788948
60.289759,37,43.870868
5.296934,10,43.89422
1.724871,24,43.948192
38.780395,22,43.995556
6.984229,8,44.013098
2.701629,9,44.032862
1.976197,13,44.983531
37.129914,21,45.172725
38.480206,22,45.222074
-0.998915,17,45.261985
38.444077,22,45.316677
5.863193,7,45.334714
40.238453,23,45.386584
45.905268,26,45.843173
5.549608,10,45.864577
39.664342,30,45.927293
5.920098,7,45.943312
38.343828,22,45.989747
5.383865,10,46.011443
41.675854,24,46.061973
48.012501,27,46.118401
45.370584,26,46.173011
38.902344,22,46.219263
35.679584,20,46.261354
5.240482,10,46.282731
38.46556,22,46.328682
7.232391,11,46.35272
38.236806,22,46.39933
7.282654,8,46.416716
38.382846,22,46.46393
38.74068,22,46.510441
42.77737,25,46.564237
38.963475,22,46.613003
66.784926,41,46.705907
40.275235,23,46.756142
37.146075,21,46.803742
38.828803,22,46.854362
38.779616,22,46.903565
31.213441,21,46.949574
52.432175,38,47.032692
7.310425,8,47.051526
37.257897,21,47.098853
42.406954,24,47.156008
37.035356,21,47.209826
61.933077,38,47.292838
40.245996,23,47.347304
122.853882,153,47.706391
39.102503,22,47.756695
5.299745,10,47.779461
-1.354825,18,47.820145
-1.553823,18,47.860349
5.786639,7,47.879005
52.949765,33,47.95823
38.838057,22,48.00938
5.758241,7,48.025325
38.658384,22,48.073427
38.85061,22,48.482726
39.086036,22,48.529521
37.207804,21,48.576161
5.880015,10,48.598227
40.38348,23,48.648602
0.452798,9,48.668889
38.750562,22,48.71721
38.274753,22,48.76507
5.553132,10,48.78951
39.064201,22,48.838089
40.333357,23,48.889477
5.833627,7,48.905617
-1.95373,18,48.94503
5.718541,10,48.967888
5.888568,7,48.984218
6.200298,7,49.000612
40.130982,23,49.051757
2.886405,25,49.112367
32.971119,19,49.157932
5.842799,7,49.175137
39.080973,22,49.224238
38.914113,22,49.273167
40.235883,23,49.323528
38.707473,22,49.370821
38.868839,22,49.418616
38.780829,22,49.466225
44.257917,25,49.520664
6.957761,8,49.538726
38.893689,22,49.585806
5.835886,7,49.601787
1.178451,9,49.621768
38.57533,22,49.669465
2.463231,6,49.682776
38.499869,22,49.730172
5.933483,7,49.745416
36.925742,21,49.790284
-0.102887,21,49.837982
38.638875,22,49.884805
91.591428,70,50.034321
37.033961,21,50.081802
40.260444,23,50.134252
38.926747,22,50.181327
1.536148,9,50.204296
38.534027,22,50.25599
38.616655,22,50.305536
12.549408,11,50.330502
38.665845,22,50.378914
69.898479,43,50.47333
39.5733,23,50.52693
38.657191,22,50.577806
133.612347,163,60.672055
273.104944,303,61.493145
38.87491,22,61.545807
1.073952,22,61.599967
38.436437,22,61.64945
8.965246,12,61.67741
-1.770564,18,61.717776
38.45327,22,61.768528
38.742756,22,61.81289
41.804977,24,61.861113
5.934564,7,61.876189
38.580988,22,61.922062
-1.551662,17,61.958199
40.161575,23,62.011328
38.862667,22,62.059669
0.393877,9,62.079448
38.566808,22,62.128611
38.785417,22,62.181607
36.941836,21,62.224819
38.486436,22,62.271165
40.312913,23,62.320081
40.059275,23,62.368474
5.676039,7,62.384386
38.703249,22,62.431102
3.611531,7,62.447089
38.978186,22,62.499312
38.695911,22,62.548993
38.867528,22,62.598357
38.367506,22,62.647135
47.60116,28,62.709256
6.053866,10,62.732449
4.555023,27,63.170222
101.928264,58,63.295977
73.778226,44,63.387539
36.897391,21,63.433769
39.976035,23,63.484602
38.619811,25,63.539895
38.755281,22,63.588141
21.097891,15,63.621995
38.924469,22,63.671911
37.064566,21,63.720743
3.149269,10,63.743947
41.799505,24,63.797505
40.252987,23,63.848251
38.616329,22,63.89734
38.628249,22,63.947236
38.505075,22,63.996192
40.432238,23,64.047309
-1.629087,18,64.088544
39.906893,23,64.139505
5.853105,7,64.156744
5.028331,7,64.172669
40.517538,23,64.223463
5.437288,10,64.246646
9.445985,11,64.271714
9.356998,40,64.360133
37.167342,21,64.406524
38.839073,22,64.455196
40.538132,23,64.506621
39.21064,22,64.555348
38.407617,22,64.604074
-0.921273,17,64.641592
38.861545,22,64.691044
38.196367,22,64.740298
37.286184,21,64.787307
38.954841,22,64.83574
40.295624,23,64.885984
31.20695,18,64.926071
38.13093,22,64.974856
3.720475,7,64.991159
5.335577,10,65.013958
37.000539,21,65.062013
38.56554,22,65.110655
56.194454,31,65.178857
40.080235,23,65.23088
41.412972,24,65.283421
43.00527,26,65.339324
40.143586,23,65.763522
5.33557,10,65.786136
72.461033,39,65.872281
5.863527,7,65.887591
46.449955,27,65.945023
40.251774,23,65.994481
38.781921,22,66.042063
40.1308,23,66.097239
40.268538,23,66.15118
38.714715,22,66.198154
39.166418,22,66.245579
38.537946,22,66.292347
-0.58214,20,66.334831
59.238746,34,66.41186
5.772341,7,66.430935
41.48596,25,66.492105
38.596446,22,66.542529
5.848692,7,66.557764
57.270335,35,66.63347
40.502295,23,66.686067
38.971864,22,66.7403
57.654584,35,66.814107
39.063262,22,66.86088
278.267893,309,85.058495
7.214168,11,85.209193
5.812458,7,85.227867
74.472816,43,85.32193
3.91777,8,85.341345
4.70283,9,85.36253
5.097791,7,85.378536
13.284857,14,85.409785
39.142116,22,85.46313
38.834787,22,85.513463
39.008878,22,85.56878
38.387314,22,86.017131
37.074425,21,86.061304
38.412623,22,86.108731
3.862398,7,86.127267
38.621766,22,86.173813
2.214564,23,86.224522
38.73119,22,86.280599
38.651587,22,86.332442
38.504147,22,86.377953
38.730481,22,86.425015
37.280245,21,86.47039
38.394622,22,86.517345
39.919206,23,86.566561
38.753159,22,86.614266
38.496568,22,86.663834
-1.440012,18,86.706379
38.886747,22,86.755181
40.339938,23,86.805707
38.82661,22,86.851906
40.02017,23,86.903088
38.348503,22,86.955532
38.600808,22,87.009667
4.56543,7,87.025688
40.508326,23,87.077685
41.955695,24,87.135031
43.472222,25,87.194854
5.649483,7,87.211641
40.208053,23,87.267394
5.022282,30,87.333888
76.786956,44,87.42977
38.903671,22,87.477919
41.503998,24,87.53239
38.383511,22,87.581978
5.345287,10,87.60517
40.257629,23,87.65535
38.697405,22,87.702982
3.656889,9,87.723375
5.861796,7,87.739037
5.288883,10,87.760984
40.461203,23,87.813004
38.993391,22,87.863215
38.355716,22,87.911825
38.785223,22,87.965368
6.031074,7,87.982243
-0.836533,17,88.023833
52.245493,32,88.104336
40.200233,23,88.159903
7.131278,11,88.18282
38.953467,22,88.229253
38.319965,22,88.725471
39.975562,23,88.767297
38.655636,22,88.812437
38.517097,22,88.861586
38.438733,22,88.910561
-0.86987,17,88.947548
19.105096,14,88.978462
5.760522,7,88.994509
5.839876,7,89.011505
39.030901,22,89.060655
9.219487,12,89.088563
41.936223,24,89.142218
38.82709,22,89.192258
-0.78857,18,89.232234
5.883658,7,89.248689
40.241691,23,89.30065
38.88584,22,89.354033
5.288173,10,89.379311
38.370579,22,89.431278
5.858326,7,89.449442
39.010271,22,89.501129
38.346953,22,89.552528
57.665642,61,89.663221
5.106999,7,89.677042
38.759573,22,89.716201
39.971716,23,89.756496
69.266799,38,89.821579
38.528642,22,89.860466
6.823059,11,89.880399
38.731283,22,89.918562
19.112502,14,89.943548
53.326858,37,90.008086
38.519359,22,90.046698
5.880216,7,90.059836
40.609338,23,90.10043
38.599464,22,90.139037
40.160094,23,90.179751
39.019691,22,90.218354
3.067366,6,90.229691
5.814107,7,90.242645
10.407974,10,91.007189
40.112998,23,91.152297
20.155657,50,91.23345
37.091562,21,91.268017
5.722787,7,91.280479
38.451833,22,91.317637
40.617072,25,91.359231
38.682845,22,91.396213
38.591928,22,91.433769
37.110314,21,91.46964
38.992739,22,91.846446
169.406829,142,92.081328
5.895876,7,92.093948
72.859474,42,92.165216
39.038892,22,92.205465
5.35516,10,92.222712
5.886686,7,92.23554
5.820421,7,92.248134
82.775112,57,92.346458
39.126807,22,92.392348
38.728878,22,92.440138
62.54883,34,92.516639
24.711406,17,92.557726
42.042753,31,92.629776
5.799295,7,92.644906
16.933505,13,92.672547
5.757092,7,92.687668
-0.707507,20,92.729636
5.10815,8,92.746899
7.131576,8,92.764379
5.418969,10,92.785573
5.761333,7,92.801781
5.856471,7,92.818745
40.226086,23,92.872092
-1.715277,18,92.90893
40.121078,23,92.95921
59.588237,33,93.033045
38.752276,22,93.083571
36.98993,21,93.128013
7.17652,8,93.147911
6.004134,7,93.165242
4.350769,7,93.180613
6.874925,8,93.197746
4.669079,10,93.220325
40.266496,23,93.270033
38.642775,22,93.312037
37.095745,21,93.353061
38.555266,22,93.399405
40.118877,23,93.447346
38.946557,22,93.496607
61.886808,34,93.565565
48.182065,29,93.629019
5.790546,7,93.644818
38.325389,22,93.692242
6.786025,8,93.710212
3.244124,6,93.724155
36.602962,21,93.769496
6.693219,11,93.794076
38.90408,22,93.841877
5.844862,7,93.858181
46.652025,28,94.315662
40.252498,23,94.366944
60.560249,34,94.443496
38.163795,22,94.493251
40.252401,23,94.542745
38.728307,22,94.592314
9.243066,9,94.613428
5.57251,7,94.62953
39.209904,22,94.678608
40.258237,23,94.728302
57.894601,32,94.796335
38.949489,22,94.843327
47.218066,28,94.903803
39.612786,23,94.953737
33.305875,23,95.005579
5.876078,7,95.021871
5.889408,7,95.038174
38.87264,22,95.08783
44.855306,25,95.143083
40.378065,23,95.193839
5.885189,7,95.210829
37.089234,21,95.258545
84.787172,48,95.367324
43.389841,32,95.441187
38.969911,22,95.489699
36.747893,21,95.541646
40.335494,23,95.591465
32.879748,21,95.637159
8.842384,9,95.661016
8.991921,12,95.688456
59.856846,35,95.769203
5.83132,7,95.786066
3.104977,6,95.80125
34.317455,22,95.850149
3.378524,6,95.863743
19.638016,18,95.901952
5.940572,7,95.917431
3.910335,6,95.930885
38.530855,22,95.97734
34.882371,20,96.019348
9.372466,12,96.952441
58.786533,32,97.13376
37.181923,21,97.179045
9.143455,9,97.201515
116.031464,63,97.340639
3.503315,6,97.354747
40.060525,23,97.407496
40.140574,23,97.458581
66.924427,39,97.931013
-1.185355,18,97.970907
38.814826,22,98.020185
5.75968,7,98.036353
38.492169,22,98.098355
75.251751,43,98.197905
7.700256,8,98.216168
58.07935,32,98.292914
5.906707,7,98.310422
5.945594,7,98.327762
4.052167,8,98.348642
5.999135,7,98.365234
37.028883,21,98.410652
38.876707,22,98.456336
42.843572,26,98.513777
0.476205,20,98.559083
3.735502,7,98.577006
70.279901,38,98.663421
38.983723,22,98.710073
39.935535,23,98.759062
40.207002,23,98.807092
4.0584,6,98.821194
60.312026,37,98.902025
4.632794,27,98.964688
38.978328,22,99.011543
38.38407,22,99.060168
38.350324,22,99.109314
39.367839,24,99.16324
5.858068,7,99.17971
19.237407,14,99.215011
5.824423,7,99.231413
5.900423,7,99.247902
22.889447,16,99.283571
38.30052,22,99.332408
37.173923,21,99.380268
8.655765,12,99.407603
38.577586,22,99.456895
8.864451,9,99.477217
4.504804,8,99.49555
285.088059,254,100.050157
40.233706,23,100.104392
36.973522,21,100.152015
5.88786,7,100.553506
19.283438,14,100.5843
5.508159,10,100.606632
3.692246,6,100.620339
41.738821,24,100.672547
47.507342,27,100.731206
38.798615,22,100.780017
38.602237,22,100.827366
37.042518,21,100.872698
5.753174,7,100.888199
803.593593,776,102.600368
38.79033,22,102.64524
21.262447,15,102.676845
94.879748,52,103.194299
38.917281,22,103.248107
5.878958,7,103.265886
38.177481,22,103.312103
5.569729,7,103.327802
38.966902,22,103.374511
5.488123,10,103.396339
38.762272,22,103.444846
174.588438,86,103.634121
90.714037,50,103.753192
5.793262,7,103.768008
7.469372,8,103.788074
89.035487,48,103.893955
38.269734,22,103.944261
97.90345,54,104.062565
5.340675,10,104.084966
8.886714,9,104.104632
36.928661,21,104.152471
76.200133,43,104.249852
5.855906,7,104.267238
39.0885,22,104.312245
7.576209,8,104.330202
45.325966,26,104.386081
5.91339,7,104.402121
5.738213,7,104.417984
39.032773,22,104.46541
3.703147,7,104.481134
5.939856,7,104.497225
162.521918,85,104.67887
132.654305,71,104.811175
15.87819,13,104.834725
3.088478,26,104.881759
168.248745,86,105.047345
40.055983,23,105.086736
86.417464,47,105.181522
36.410282,23,105.225623
45.872952,26,105.681669
38.657714,22,107.206657
93.599123,54,107.526537
3.386639,7,107.541544
5.884269,7,107.556448
14.792682,12,107.581582
40.428937,23,107.629172
175.346525,87,107.82112
6.313571,34,107.894966
39.585295,29,107.956397
5.857032,7,107.97274
68.746373,38,108.056349
39.244113,22,108.104983
38.605785,22,108.15841
5.888016,7,108.176683
37.418785,21,108.2246
5.884473,7,108.24051
32.775321,21,108.28705
