# {"t_start": 1561570421.1046743, "env_id": "Humanoid-v2"} 
r,l,t
66.439784,14,2.704907
287.590711,53,2.898466
92.310064,21,2.978851
92.807551,20,3.05585
75.670828,16,3.123128
82.977819,17,3.192929
95.087481,21,3.279942
76.088474,16,3.345999
79.695086,17,3.423435
122.109386,27,3.538276
173.771181,33,3.685282
273.927984,53,3.916335
66.262911,14,3.976087
71.185192,15,4.045409
157.69024,32,4.180657
71.037991,15,4.243133
65.875835,14,4.302151
104.134977,23,4.400642
61.467816,13,4.455455
113.688884,22,4.555573
66.237214,14,4.615345
152.07329,32,4.756232
129.829093,26,4.857902
102.584862,20,4.927093
214.264967,48,5.104006
80.754113,17,5.17145
80.772699,17,5.23947
80.390935,17,5.310421
112.88445,22,5.403838
76.034815,16,5.469092
66.347564,14,5.526706
71.193431,15,5.588866
98.70371,21,5.675481
71.135345,15,5.73654
70.916629,15,5.798855
129.156334,26,5.905159
127.544255,26,6.015712
75.818089,16,6.081664
75.566209,16,6.148686
71.23197,15,6.210351
211.458606,39,6.374819
103.546638,22,6.465063
125.340223,24,6.563452
128.388128,25,6.666378
71.078031,15,6.728566
161.329605,34,7.387712
75.907207,16,7.456057
51.950672,11,7.506495
61.682315,13,7.560109
61.59013,13,7.614239
71.229566,15,7.67568
166.526199,33,7.81406
116.656004,23,7.917937
66.335236,14,7.977291
114.680685,24,8.083794
79.81727,17,8.156026
66.312275,14,8.215564
261.943012,51,8.438917
342.415903,64,8.72558
199.22816,40,8.906601
78.120201,17,8.979614
351.653931,69,9.29436
138.94114,27,9.409437
75.669571,16,9.477584
66.252201,14,9.538367
66.541504,14,9.596685
170.29375,34,9.741258
117.325664,23,9.836979
114.148485,23,9.935023
223.765167,42,10.114168
71.022938,15,10.176457
79.081858,16,10.24238
76.086894,16,10.307634
71.18338,15,10.36959
76.145206,16,10.435475
74.67701,16,10.501158
143.587531,30,10.63436
240.943058,50,10.854082
75.840471,16,10.923402
66.271671,14,10.983513
70.950061,15,11.051773
66.193261,14,11.118391
135.509916,26,11.23427
66.255648,14,11.295668
328.137142,66,11.590701
71.043406,15,12.0789
144.267245,29,12.204926
168.673838,35,12.355668
66.120271,14,12.414474
92.16609,20,12.501414
87.703246,20,12.591016
125.841293,25,12.700447
70.940047,15,12.766032
71.241695,15,12.829859
86.408013,18,12.907914
276.210972,57,13.166764
61.586917,13,13.223782
66.080023,14,13.283008
113.637148,24,13.388275
66.268373,14,13.448328
87.718428,19,13.529736
71.144109,15,13.593647
107.351501,22,13.692277
91.794798,19,13.774357
71.325439,15,13.838655
71.158095,15,13.902935
261.562348,62,14.177804
111.76132,22,14.27353
75.891432,16,14.342053
75.645758,16,14.409878
66.189883,14,14.469555
70.841359,15,14.535356
66.257447,14,14.595772
61.454735,13,14.650704
71.220189,15,14.718568
66.095425,14,14.772918
61.449752,13,14.842443
70.172089,15,14.901389
56.813436,12,14.948196
214.673145,40,15.131712
66.316742,14,15.189919
74.445524,16,15.255052
66.195883,14,15.313856
92.50229,22,15.407528
61.613409,13,15.462146
77.966101,16,15.539235
137.616472,28,15.66313
70.979449,15,15.729915
66.533928,14,15.78837
75.795836,16,15.856495
66.279614,14,15.916063
128.924652,27,16.0322
135.249427,27,16.149498
61.721078,13,16.20542
66.215374,14,16.264944
71.078964,15,16.327633
80.297857,17,16.398358
70.989795,15,16.884149
71.205798,15,16.948752
71.354115,15,17.013416
126.08623,25,17.123976
66.226174,14,17.183829
66.351174,14,17.244555
66.105988,14,17.305587
102.22543,20,17.399411
66.446986,14,17.459431
100.425824,21,17.550951
84.245367,19,17.633676
66.297259,14,17.69343
82.831085,18,17.778687
70.193256,15,17.845588
66.158416,14,17.905664
187.59231,36,18.062738
168.129616,34,18.21631
71.148418,15,18.280282
75.739369,16,18.347599
56.754506,12,18.398775
104.624841,22,18.494926
181.674431,38,18.66458
75.624649,16,18.733284
66.188522,14,18.791468
70.910768,15,18.853074
66.263839,14,18.911161
198.205919,40,19.089253
75.502578,16,19.157989
83.622187,17,19.231874
66.369201,14,19.295968
134.660832,27,19.412167
79.321522,18,19.489189
144.633444,29,19.619292
61.490342,13,19.67434
82.413628,17,19.747626
117.034887,23,19.847766
71.05731,15,19.912382
70.883899,15,19.9759
71.031044,15,20.040126
78.391433,16,20.108566
81.595092,17,20.180969
116.848899,23,20.284323
66.477286,14,20.344332
70.39254,15,20.409584
78.128261,16,20.477747
75.996655,16,20.545643
214.985289,43,20.739564
71.235533,15,20.803985
66.208751,14,20.863016
66.268941,14,20.921114
66.476936,14,20.97993
71.163006,15,21.042181
66.292472,14,21.100147
66.126676,14,21.157378
66.154687,14,21.635677
108.97866,22,21.732314
66.147355,14,21.79231
71.007753,15,21.857391
61.581514,13,21.912739
71.091791,15,21.97686
71.22383,15,22.04149
70.789575,15,22.106313
61.524312,13,22.161646
61.501508,13,22.217314
61.698567,13,22.274178
126.846227,27,22.393123
90.239758,20,22.483284
71.193259,15,22.546671
66.173899,14,22.607121
78.458494,17,22.681307
70.955434,15,22.744526
66.273247,14,22.803751
66.129463,14,22.863652
200.14364,40,23.041214
66.277166,14,23.100233
110.833526,25,23.209703
71.180977,15,23.273378
66.183267,14,23.333184
75.685951,16,23.401418
66.547993,14,23.460445
84.340402,18,23.537688
66.118708,14,23.598233
268.751714,57,23.846579
174.843884,37,24.009899
71.138523,15,24.073664
95.567523,19,24.158177
105.828278,21,24.254191
112.937374,22,24.349732
66.226071,14,24.41117
220.666137,40,24.588266
61.615646,13,24.643603
70.990597,15,24.710321
71.668554,15,24.775883
75.929069,16,24.843594
88.903825,19,24.923165
66.121911,14,24.981432
75.561832,16,25.048048
189.365509,36,25.202702
75.761233,16,25.274032
66.439581,14,25.338216
66.203546,14,25.39764
61.375401,13,25.453205
90.857584,20,25.540985
75.095227,16,25.609885
152.665391,30,25.742061
127.590482,25,25.855391
75.960684,16,25.926432
72.236147,15,26.40296
103.836314,21,26.494118
71.171015,15,26.557888
75.560569,16,26.625885
66.290369,14,26.684945
66.183444,14,26.744111
66.227503,14,26.804274
66.324361,14,26.864197
66.404515,14,26.923648
115.161277,24,27.026027
200.962775,38,27.193517
123.59776,27,27.31041
87.091884,19,27.392199
115.377162,23,27.492096
70.887175,15,27.557169
66.356851,14,27.616039
61.46351,13,27.670853
66.378642,14,27.731824
66.455119,14,27.795713
84.036247,17,27.869443
56.678777,12,27.921466
61.515859,13,27.979316
56.728737,12,28.026861
75.544906,16,28.090333
109.653078,24,28.190351
75.709178,16,28.259389
61.724126,13,28.31548
222.812359,44,28.509888
71.012618,15,28.572729
76.022542,16,28.641909
66.247377,14,28.700931
61.44322,13,28.756939
263.642481,51,28.99087
61.452946,13,29.046963
70.887765,15,29.110454
99.884162,20,29.197669
74.994334,16,29.266359
70.979388,15,29.32939
99.781767,20,29.416398
66.201424,14,29.476877
95.827829,21,29.567833
188.772573,38,29.732099
89.088868,20,29.814472
75.927079,16,29.881931
119.610545,26,29.991015
66.34177,14,30.049892
178.441536,37,30.209648
71.15111,15,30.273128
56.854134,12,30.323441
66.198833,14,30.382572
199.263482,38,30.553063
61.593935,13,30.608789
66.391353,14,31.088274
74.604739,16,31.154572
82.341957,17,31.225953
66.325651,14,31.285515
70.731714,15,31.350144
81.000697,17,31.424145
70.947339,15,31.487932
108.25099,21,31.577749
71.039193,15,31.641957
268.992662,51,31.867326
80.549457,17,31.941444
61.426941,13,31.997516
66.201161,14,32.057087
70.854145,15,32.120687
66.270164,14,32.181447
70.943223,15,32.247259
71.21822,15,32.311171
66.197009,14,32.370317
87.429467,18,32.447535
61.583879,13,32.503079
65.864036,14,32.564578
61.669977,13,32.620274
66.410208,14,32.680851
70.933649,15,32.74538
66.395651,14,32.805599
71.010655,15,32.870128
70.933896,15,32.933858
75.793857,16,33.002649
70.966525,15,33.066911
124.814758,26,33.180535
66.273085,14,33.240519
75.722715,16,33.309423
61.437709,13,33.365648
56.722005,12,33.417705
66.4321,14,33.477909
75.748174,16,33.546396
176.726581,41,33.727537
262.003465,48,33.943364
70.972993,15,34.004491
71.011874,15,34.068144
61.427778,13,34.123485
205.772824,41,34.315111
212.730272,39,34.486223
71.121948,15,34.547609
77.408782,17,34.619432
61.577282,13,34.676332
130.680394,25,34.785329
96.986781,21,34.876321
66.221648,14,34.936793
61.398998,13,34.992899
61.591688,13,35.050301
306.610179,64,35.34579
71.077355,15,35.410472
66.161667,14,35.894821
101.442685,21,35.98414
70.882385,15,36.038303
140.812989,27,36.137209
75.787984,16,36.194535
70.925055,15,36.248901
85.941115,19,36.325032
71.064154,15,36.385869
71.029641,15,36.446709
66.497289,14,36.504783
79.828053,17,36.575298
75.755225,16,36.640278
66.226014,14,36.705671
61.495779,13,36.763064
66.13706,14,36.820771
89.378603,20,36.90482
61.428689,13,36.959654
61.524598,13,37.014648
70.996202,15,37.081568
122.023165,25,37.189868
70.90033,15,37.251692
328.051548,60,37.525772
66.464786,14,37.582817
66.388592,14,37.640225
99.080957,21,37.73391
70.877369,15,37.797338
200.438565,39,37.966072
61.615327,13,38.022513
100.702776,21,38.112877
228.973524,48,38.327347
61.523705,13,38.38768
71.000795,15,38.45237
158.960475,33,38.599451
80.220555,17,38.672064
66.274459,14,38.731567
120.618257,24,38.839406
66.568029,14,38.898731
66.164192,14,38.962677
404.890994,75,39.280678
66.244545,14,39.339796
216.80305,46,39.539387
160.725193,32,39.679099
75.874611,16,39.746678
75.820858,16,39.815033
224.247315,46,40.017885
66.248134,14,40.078048
66.317265,14,40.550742
66.286104,14,40.610543
130.700776,27,40.738512
70.957124,15,40.802377
66.335086,14,40.861759
66.421291,14,40.922347
66.070043,14,40.983029
75.915187,16,41.051271
70.938218,15,41.115109
93.451036,19,41.197771
66.439601,14,41.256555
70.83041,15,41.320656
66.427577,14,41.380128
75.734474,16,41.449524
185.423882,37,41.613312
92.03727,20,41.700046
70.915722,15,41.7651
66.257656,14,41.826072
157.185332,29,41.95413
179.227309,34,42.1046
61.4054,13,42.160264
238.809514,48,42.370176
70.795114,15,42.433137
70.882502,15,42.496565
75.520121,16,42.56367
66.407047,14,42.622321
61.572359,13,42.676584
71.063747,15,42.742728
61.548828,13,42.800961
71.035287,15,42.865161
56.911672,12,42.916248
70.839446,15,42.980989
253.077213,47,43.188871
71.041516,15,43.252921
66.270437,14,43.312284
126.676802,26,43.427451
61.732311,13,43.483524
71.103639,15,43.548212
71.026188,15,43.612141
127.474904,25,43.723588
66.221613,14,43.78355
75.797832,16,43.851269
66.478138,14,43.911852
61.751566,13,43.967792
66.107958,14,44.026999
506.744645,98,44.463433
70.756109,15,44.528695
71.164142,15,44.593851
71.136684,15,44.659314
66.327925,14,44.718869
61.487197,13,44.774605
61.609542,13,44.830807
71.264222,15,45.320577
226.726278,44,45.509974
70.93247,15,45.573563
66.035332,14,45.630486
89.960014,19,45.711484
61.349152,13,45.765461
66.324438,14,45.823808
70.791907,15,45.885673
66.13211,14,45.944149
106.668458,22,46.038432
61.57406,13,46.095286
71.03081,15,46.160302
71.061383,15,46.224852
71.093767,15,46.289098
156.862325,32,46.431512
84.068102,18,46.508864
66.278074,14,46.568657
61.47711,13,46.62406
70.917241,15,46.688245
61.609049,13,46.744331
71.158842,15,46.809013
66.270983,14,46.870338
76.406903,16,46.93936
186.248822,41,47.12006
152.615608,30,47.253866
56.971375,12,47.30671
