# {"t_start": 1561570588.708221, "env_id": "Humanoid-v2"} 
r,l,t
75.65279,16,2.756135
75.470106,16,2.793648
71.188342,15,2.828805
75.662033,16,2.867869
66.086092,14,2.90448
150.331019,31,2.98374
137.241774,28,3.052981
61.746079,13,3.088871
66.299345,14,3.125618
258.170464,53,3.269605
75.610518,16,3.309857
97.451523,19,3.357391
83.405048,18,3.402583
71.089878,15,3.440044
132.593473,30,3.516252
174.561634,39,3.620216
129.187932,28,3.693023
87.093471,20,3.744115
143.902594,28,3.816523
71.339466,15,3.850676
66.033542,14,3.882426
85.504481,18,3.926639
66.923397,14,3.960786
61.668851,13,3.994072
66.124511,14,4.029559
66.421282,14,4.068027
86.777614,18,4.114243
75.48784,16,4.154697
80.593486,17,4.197622
92.898348,19,4.248544
160.119878,32,4.333341
70.796234,15,4.370117
100.142545,20,4.420558
87.23183,18,4.467465
75.705798,16,4.508166
112.773313,22,4.565218
115.796845,23,4.623987
70.991954,15,4.662003
185.142023,39,4.765008
141.611724,26,4.841639
108.530757,21,4.89582
71.178694,15,4.934456
260.360369,49,5.066997
61.419394,13,5.10089
96.192937,20,5.152195
70.836766,15,5.18984
217.307552,44,5.841956
116.964041,23,5.910115
70.803059,15,5.952975
66.497152,14,5.994175
75.64349,16,6.042142
56.747243,12,6.077414
70.851921,15,6.119473
152.223678,30,6.206149
66.368599,14,6.246385
200.111534,40,6.366044
61.671096,13,6.400572
56.560204,12,6.430615
66.391841,14,6.46563
94.418003,19,6.51683
66.264588,14,6.552169
88.664286,18,6.600528
131.956326,30,6.678607
61.670275,13,6.712717
71.121759,15,6.750466
71.228977,15,6.788106
70.982619,15,6.826586
106.485813,21,6.878208
121.120115,25,6.941854
262.677071,63,7.102684
180.060557,35,7.190426
313.385864,66,7.387001
66.162648,14,7.42131
56.760986,12,7.450597
93.760921,19,7.496877
66.033764,14,7.532066
66.295234,14,7.567123
70.895212,15,7.604259
71.12309,15,7.640246
101.760609,20,7.692437
66.131728,14,7.727332
66.336407,14,7.767359
66.217211,14,7.80152
75.560538,16,7.841139
61.531946,13,7.872859
79.938274,17,7.915074
94.888248,19,7.964522
117.260099,24,8.031433
66.042016,14,8.066608
101.16455,20,8.120797
75.552419,16,8.162745
78.898778,17,8.206956
167.219688,33,8.295509
117.10663,25,8.363879
81.623564,17,8.40733
75.818034,16,8.449529
174.398565,38,8.981405
66.298017,14,9.015868
190.035422,44,9.131339
75.679592,16,9.17032
61.36958,13,9.209787
66.214691,14,9.25166
61.431193,13,9.28906
73.953413,16,9.330524
66.291918,14,9.369345
66.268839,14,9.410148
70.849396,15,9.450159
75.654001,16,9.493195
275.558476,62,9.688439
66.381933,14,9.72825
128.748733,25,9.789025
124.186972,26,9.854937
143.287017,32,9.949866
147.641441,31,10.031131
161.184433,31,10.110706
99.397568,22,10.175251
66.037171,14,10.214719
66.167174,14,10.249113
70.945308,15,10.286405
61.576495,13,10.320442
66.24528,14,10.356405
69.535447,15,10.403444
209.805326,40,10.514379
81.05749,17,10.557752
70.918531,15,10.594409
168.807918,40,10.70442
66.15672,14,10.740266
66.348193,14,10.777101
108.91237,22,10.83617
187.268076,37,10.93415
150.400016,33,11.020078
66.024872,14,11.057977
329.532148,67,11.237266
75.825708,16,11.278244
71.112116,15,11.31747
108.64033,22,11.378937
96.072982,21,11.4322
70.974203,15,11.472649
85.763367,18,11.520882
126.303847,25,11.587819
112.351101,22,12.095571
61.603123,13,12.128554
75.60393,16,12.171271
177.509327,39,12.281196
128.909929,25,12.347843
95.046656,22,12.402231
75.730736,16,12.441874
70.765909,15,12.479611
179.125663,40,12.577992
175.947708,35,12.664444
70.773519,15,12.702826
78.234454,17,12.74576
134.071083,28,12.823057
80.359042,17,12.865051
66.443771,14,12.900028
61.292041,13,12.932141
71.355499,15,12.968291
61.404795,13,13.000478
71.155598,15,13.036113
61.271856,13,13.068133
88.033052,18,13.111894
75.983662,16,13.150812
66.204217,14,13.184668
141.850403,31,13.263593
103.051523,22,13.318581
115.627267,25,13.382331
75.520592,16,13.421513
180.822389,41,13.531567
70.922348,15,13.574625
66.388728,14,13.609806
86.903861,20,13.659612
81.828929,17,13.703854
183.604729,36,13.79826
66.057194,14,13.833369
75.630962,16,13.87456
75.713314,16,13.916429
70.863402,15,13.954835
105.78882,22,14.011366
231.076556,42,14.123932
162.407983,32,14.215012
80.63832,17,14.259382
66.150525,14,14.297151
56.67453,12,14.329488
71.182769,15,14.366753
70.783454,15,14.406547
70.968509,15,14.4451
71.159809,15,14.485448
71.067648,15,14.52518
70.775186,15,14.564892
71.135296,15,14.606156
259.840058,50,15.182097
152.035179,31,15.2755
219.020742,47,15.4195
138.480724,28,15.507678
66.403473,14,15.548297
99.567406,22,15.59799
75.61576,16,15.633746
90.104689,20,15.692778
143.490216,28,15.776012
203.229744,38,15.876801
66.091022,14,15.912488
66.137328,14,15.947827
110.52001,26,16.020618
65.962573,14,16.057649
179.671605,35,16.160604
71.021834,15,16.199623
66.231431,14,16.237298
104.139728,22,16.296981
70.945738,15,16.334695
398.09329,76,16.564698
66.252152,14,16.605731
100.882461,21,16.661572
66.396652,14,16.705247
66.181675,14,16.742358
66.242746,14,16.777696
61.535823,13,16.811058
126.413406,23,16.871808
75.760625,16,16.912412
71.017013,15,16.951338
146.789222,29,17.027751
75.500586,16,17.069466
259.621545,52,17.215928
66.318558,14,17.251721
75.833254,16,17.294127
95.824444,20,17.347366
70.768646,15,17.386975
61.494571,13,17.420968
225.494334,45,17.546921
61.717062,13,17.581328
139.912915,29,17.658991
66.240243,14,17.696019
87.048562,19,17.747479
157.738797,31,17.841321
121.83191,24,18.362256
66.270344,14,18.399431
71.013222,15,18.439811
66.271196,14,18.478378
66.291235,14,18.515958
122.068768,23,18.581082
75.844141,16,18.627673
61.530001,13,18.660792
70.958121,15,18.697752
80.747203,17,18.74532
256.596908,56,18.89976
75.650847,16,18.94414
213.609009,44,19.065548
66.449765,14,19.100167
136.676551,28,19.176138
66.351082,14,19.213349
71.519632,15,19.252841
66.241579,14,19.288814
75.897879,16,19.329017
71.078749,15,19.368624
75.758579,16,19.417902
131.194284,26,19.490496
81.136431,17,19.534499
156.552999,34,19.623298
66.440108,14,19.657861
70.908047,15,19.693961
71.161459,15,19.734692
71.08121,15,19.775151
86.000289,18,19.825894
70.856909,15,19.865568
61.621775,13,19.900835
66.366331,14,19.935273
75.896539,16,19.977079
75.914414,16,20.019507
86.221314,19,20.073888
96.673227,19,20.121169
70.695632,15,20.158233
61.562401,13,20.188796
85.461524,18,20.235819
66.258872,14,20.269986
66.455484,14,20.305585
70.857095,15,20.342774
66.105162,14,20.377363
70.807995,15,20.416763
121.189943,26,20.483127
70.975163,15,20.521152
75.405858,16,20.560705
177.535822,35,20.655854
75.619179,16,20.699733
71.042552,15,20.743146
71.096365,15,20.781291
128.54636,27,20.852475
91.241412,21,20.906068
61.453523,13,20.938711
76.444976,16,20.979955
149.612625,29,21.484686
132.031192,28,21.556661
66.528347,14,21.5916
80.466737,17,21.633961
75.382691,16,21.673618
70.953015,15,21.711563
56.866326,12,21.741462
65.933655,14,21.776673
66.302064,14,21.810819
75.798146,16,21.8495
77.07384,16,21.889128
94.296152,19,21.937924
154.584832,31,22.016934
70.89837,15,22.054762
293.358433,56,22.199677
252.888026,54,22.342251
66.384037,14,22.377297
192.925458,38,22.473239
66.272494,14,22.508042
88.266897,19,22.55516
75.756754,16,22.594934
209.697522,37,22.696906
61.636482,13,22.734145
158.778133,31,22.82589
61.421548,13,22.861847
66.245711,14,22.896821
66.17969,14,22.936081
66.027249,14,22.970879
75.634664,16,23.015753
66.374957,14,23.05433
181.591602,40,23.162095
56.751166,12,23.195659
70.746447,15,23.237101
75.450234,16,23.279425
76.002815,16,23.320195
106.388292,23,23.395034
70.884481,15,23.432729
122.168099,26,23.503859
80.501404,17,23.546083
111.066277,22,23.600342
