# {"t_start": 1562302087.3181984, "env_id": "ReacherBL-v2"} 
r,l,t
-103.41885,50,1.498794
-106.521092,50,2.083457
-104.325281,50,2.590897
-87.821007,50,3.135655
-105.188462,50,3.709827
-109.845955,50,4.296901
-111.772204,50,4.9042
-105.896002,50,5.465486
-107.008962,50,6.048781
-105.582905,50,6.593735
-88.735357,50,7.150985
-99.216033,50,7.745803
-93.208069,50,8.313225
-105.543313,50,8.867942
-108.104457,50,9.436885
-98.00772,50,10.048183
-111.374702,50,10.699657
-103.320711,50,11.367879
-101.041331,50,11.949307
-80.254743,50,12.55686
-102.128349,50,13.36609
-104.612841,50,13.965004
-97.854013,50,14.530037
-91.865102,50,15.116274
-101.467726,50,15.705309
-105.742489,50,16.297178
-96.52688,50,16.869711
-104.697174,50,17.435684
-105.040402,50,18.009705
-102.04454,50,18.601442
-106.236888,50,19.212649
-81.031867,50,19.846732
-58.293864,50,20.512241
-103.544688,50,21.154792
-92.221548,50,21.843844
-99.806393,50,22.539592
-111.961794,50,23.235991
-92.502529,50,23.922287
-111.379767,50,24.614843
-73.248408,50,25.248474
-110.790618,50,25.939501
-86.298991,50,26.617712
-84.88794,50,27.313715
-75.689622,50,28.009677
-95.809076,50,28.70496
-105.991515,50,29.388842
-87.415225,50,30.069306
-60.057364,50,30.744057
-86.536719,50,31.434779
-68.043456,50,32.150156
-90.78272,50,32.857589
-75.340493,50,33.568298
-94.267569,50,34.273589
-80.809354,50,34.967262
-54.651567,50,35.680145
-64.716361,50,36.368122
-107.832456,50,37.05107
-48.411744,50,37.760357
-84.069897,50,38.463864
-101.94171,50,39.169805
-99.812088,50,39.950135
-64.64816,50,40.662662
-69.341758,50,41.377467
-72.483816,50,42.101528
-82.360098,50,42.811836
-33.881341,50,43.521333
-51.980596,50,44.236726
-90.19342,50,44.957167
-59.221658,50,45.669222
-73.444708,50,46.380087
-86.684095,50,47.095104
-102.684441,50,47.811118
-60.22289,50,48.529831
-85.307336,50,49.24859
-76.62475,50,49.963339
-63.420702,50,50.668492
-98.884568,50,51.373413
-70.602158,50,52.085548
-41.722921,50,52.790141
-25.766133,50,53.506911
-69.186577,50,54.293615
-107.881163,50,55.011728
-29.459601,50,55.716566
-69.031916,50,56.441768
-60.462827,50,57.176116
-40.328152,50,57.8698
-46.849074,50,58.593647
-9.972381,50,59.315638
-51.88235,50,60.030782
-26.171922,50,60.729997
-29.618443,50,61.453279
-79.589691,50,62.106433
-32.106471,50,62.801381
-8.790516,50,63.512862
-84.376381,50,64.225172
-36.376127,50,64.880007
-36.560907,50,65.478038
-25.412389,50,66.131812
-35.139527,50,66.842371
-35.293167,50,67.553594
-52.959234,50,68.292189
-36.847888,50,68.944387
-59.859957,50,69.667114
-35.74007,50,70.378267
-36.758913,50,71.069517
-41.39156,50,71.701594
-40.804192,50,72.404927
-94.084466,50,73.124278
-32.385939,50,73.845589
-29.500482,50,74.583369
-45.114139,50,75.320029
-46.820337,50,76.051569
-25.118775,50,76.757204
-12.948472,50,77.479897
-9.798151,50,78.206721
-10.643732,50,78.890032
-25.281278,50,79.597029
-14.774388,50,80.31284
-16.631776,50,81.052714
-49.513877,50,81.767778
-45.190884,50,82.561699
-34.363237,50,83.284635
-14.038766,50,83.997456
-26.955997,50,84.714436
-29.574502,50,85.436073
-42.357251,50,86.16026
-35.087293,50,86.913513
-15.961945,50,87.646195
-39.277981,50,88.373558
-11.343904,50,89.098323
-28.524315,50,89.82158
-35.920745,50,90.500708
-14.682333,50,91.226948
-7.884909,50,91.933712
-17.780926,50,92.575686
-10.699454,50,93.232619
-22.097175,50,93.958551
-19.828415,50,94.620893
-37.56363,50,95.340533
-12.584789,50,96.04056
-22.984406,50,96.804471
-21.100512,50,97.485407
-35.882526,50,98.215239
-17.836331,50,98.951722
-23.96518,50,99.639492
-16.293627,50,100.345464
-18.14885,50,101.102254
-11.128598,50,101.853808
-15.397577,50,102.595014
-16.145682,50,103.338125
-8.82025,50,104.070684
-9.968876,50,104.801996
-38.776869,50,105.537139
-12.405484,50,106.27369
-17.052204,50,106.980934
-8.756492,50,107.717103
-19.65755,50,108.439088
-18.958624,50,109.176402
-33.30015,50,109.916969
-24.059126,50,110.657881
-14.661087,50,111.48849
-8.415946,50,112.242603
-9.988081,50,112.975798
-21.243911,50,113.722436
-12.562725,50,114.463904
-15.948803,50,115.203098
-18.414446,50,115.946218
-17.681043,50,116.683016
-15.468983,50,117.306476
-13.265742,50,117.988435
-3.596513,50,118.744772
-13.166831,50,119.471724
-12.099876,50,120.211811
-31.357207,50,120.990958
-22.604302,50,121.687593
-18.40609,50,122.452831
-11.647424,50,123.072944
-20.329509,50,123.778862
-19.635988,50,124.545249
-13.816143,50,125.312584
-20.512205,50,126.162289
-16.637637,50,126.916334
-10.946006,50,127.679724
-23.186818,50,128.424332
-14.462663,50,129.188052
-12.160493,50,129.956457
-16.188049,50,130.705223
-11.395913,50,131.46444
-6.102433,50,132.22905
-11.696302,50,132.993988
-26.170068,50,133.768121
-17.3511,50,134.520474
-12.38134,50,135.309083
-19.947837,50,136.08652
-19.795824,50,136.868846
-22.114484,50,137.634375
-12.532958,50,138.394233
-14.124119,50,139.15416
-20.060857,50,139.925891
-10.556768,50,140.692914
-10.272077,50,141.543488
-7.701491,50,142.3141
-11.185783,50,143.048639
-7.427381,50,143.785887
-12.972077,50,144.571437
-33.877617,50,145.35144
-12.339913,50,146.120795
-10.633692,50,146.826417
-16.489649,50,147.591292
-8.809771,50,148.335147
-13.070048,50,148.974281
-10.003188,50,149.663388
-8.934829,50,150.398807
-15.449488,50,151.180534
-8.799737,50,151.971815
-10.454796,50,152.765651
-15.844292,50,153.534642
-14.376338,50,154.309896
-13.840783,50,155.093235
-8.226469,50,155.878145
-10.251734,50,156.746952
-18.894362,50,157.515249
-16.268682,50,158.292894
-8.082205,50,159.067724
-9.719122,50,159.842041
-12.327792,50,160.619436
-19.299053,50,161.404882
-10.948074,50,162.197304
-14.816784,50,163.001373
-9.956306,50,163.788121
-14.92502,50,164.596939
-12.012413,50,165.383976
-14.538962,50,166.173379
-17.41083,50,166.959961
-13.179384,50,167.739948
-23.820034,50,168.537816
-27.156992,50,169.326919
-19.480947,50,170.09816
-11.717128,50,170.883886
-14.266012,50,171.59426
-10.077732,50,172.390687
-8.44937,50,173.112687
-16.850861,50,173.887533
-12.399161,50,174.678634
-8.877798,50,175.457429
-18.977447,50,176.226494
-8.725296,50,177.003441
-15.388132,50,177.780882
-35.812343,50,178.565599
-14.73407,50,179.347618
-8.619831,50,180.137805
-7.187674,50,180.910078
-11.05246,50,181.672672
-21.915948,50,182.467662
-9.900281,50,183.251771
-9.609856,50,184.018056
-7.581125,50,184.791005
-8.008,50,185.582409
-11.405631,50,186.41575
-18.293116,50,187.201194
-10.467004,50,188.057429
-8.821176,50,188.813874
-11.830105,50,189.599728
-11.679706,50,190.38495
-10.573233,50,191.179799
-14.584756,50,191.967463
-8.254503,50,192.769783
-15.905734,50,193.575305
-18.269888,50,194.302453
-9.920824,50,195.038081
-6.209108,50,195.770968
-15.978148,50,196.453135
-13.182142,50,197.182113
-11.470821,50,197.965817
-8.385784,50,198.679486
-12.273908,50,199.398276
-14.444245,50,200.025255
-16.423359,50,200.678107
-11.593808,50,201.307746
-10.547866,50,202.000486
-17.364648,50,202.831447
-14.349042,50,203.622369
-9.673083,50,204.466722
-13.422645,50,205.289926
-21.466388,50,206.116345
-12.041284,50,206.930076
-16.13056,50,207.765089
-13.256393,50,208.564251
-21.399645,50,209.392539
-14.142758,50,210.22334
-18.273353,50,211.045436
-12.18514,50,211.870617
-17.493726,50,212.69099
-14.290127,50,213.513415
-15.29424,50,214.323983
-10.303622,50,215.133483
-17.070506,50,215.96541
-16.004951,50,216.753112
-21.816775,50,217.580927
-7.55514,50,218.415133
-14.827452,50,219.364723
-8.542282,50,220.181967
-11.240616,50,220.948079
-12.352586,50,221.742308
-11.517735,50,222.543643
-9.491196,50,223.383017
-6.635372,50,224.227624
-14.791542,50,225.04873
-15.565408,50,225.896233
-14.476195,50,226.690942
-16.729231,50,227.482061
-9.298659,50,228.279433
-8.961208,50,229.084838
-16.278854,50,229.901774
-4.312521,50,230.689445
-17.514546,50,231.467202
-15.64425,50,232.290741
-20.569853,50,233.088462
-17.5356,50,233.906053
-9.281345,50,234.74934
-16.430699,50,235.650709
-11.608546,50,236.474157
-14.666076,50,237.282152
-15.442337,50,238.111305
-12.332668,50,238.887787
-11.981573,50,239.690557
-10.739411,50,240.500947
-19.77133,50,241.287152
-14.108534,50,242.056443
-8.718015,50,242.837999
-15.556438,50,243.629255
-17.320043,50,244.406736
-7.452608,50,245.173244
-14.725651,50,245.974262
-10.260314,50,246.765448
-11.3669,50,247.536812
-9.492715,50,248.310292
-9.102243,50,249.071319
-14.032379,50,249.843197
-21.225615,50,250.663357
-6.829638,50,251.568707
-9.905965,50,252.341416
-18.268522,50,253.136606
-7.490987,50,253.879909
-9.597591,50,254.67007
-16.863057,50,255.465366
-19.818875,50,256.241985
-15.72768,50,257.031854
-10.483233,50,257.816932
-17.59276,50,258.57521
-12.368118,50,259.399888
-11.727537,50,260.174198
-10.102203,50,260.928929
-6.667645,50,261.699396
-9.956474,50,262.498478
-8.814853,50,263.282837
-15.88714,50,264.065042
-9.533099,50,264.840538
-11.082684,50,265.641105
-10.243741,50,266.434663
-6.815511,50,267.3359
-13.383155,50,268.130977
-20.784773,50,268.901665
-14.846433,50,269.696231
-21.35157,50,270.496717
-13.664249,50,271.268979
-17.609315,50,272.05879
-9.302273,50,272.877942
-13.522375,50,273.693569
-7.36026,50,274.492346
-14.022923,50,275.29047
-13.528661,50,276.087754
-17.658265,50,276.863356
-12.639442,50,277.633203
-12.04339,50,278.443524
-6.936365,50,279.233905
-18.633708,50,280.047884
-16.829193,50,280.840624
-9.668041,50,281.625305
-13.648141,50,282.408123
-10.537033,50,283.284019
-7.760091,50,284.068948
-16.125267,50,284.857844
-13.315325,50,285.667076
-15.541176,50,286.441561
-9.287709,50,287.257723
-7.592748,50,288.063264
-21.600454,50,288.840206
-11.848601,50,289.62635
-9.02329,50,290.413834
-15.665825,50,291.201378
-15.366087,50,291.984254
-8.175113,50,292.778487
-13.039505,50,293.530784
-17.771027,50,294.322957
-9.674842,50,295.138589
-12.18014,50,295.907241
-13.49354,50,296.697026
-13.330751,50,297.490579
-11.662201,50,298.276377
-23.585788,50,299.154903
-9.017046,50,299.934144
-15.827563,50,300.731092
-15.538013,50,301.507599
-9.701273,50,302.278021
-9.075643,50,303.089622
-15.051149,50,303.894474
-12.79358,50,304.691787
-13.45942,50,305.455538
-11.722409,50,306.233552
-8.24228,50,306.990279
-20.469029,50,307.810637
-20.363698,50,308.595499
-23.883624,50,309.394459
-8.212385,50,310.191636
-13.959307,50,310.995132
-12.27228,50,311.776549
-11.199515,50,312.584662
-22.290896,50,313.391303
-17.669651,50,314.200691
-14.116354,50,315.060134
-10.665079,50,315.819166
-7.998931,50,316.626561
-8.716583,50,317.445642
-15.963781,50,318.236748
-13.117473,50,319.040853
-11.373046,50,319.860175
-9.863146,50,320.590077
-16.83468,50,321.392429
-15.675299,50,322.202597
-14.007904,50,322.979169
-7.345619,50,323.77746
-17.87321,50,324.551641
-18.784174,50,325.315025
-8.718112,50,326.076984
-8.46213,50,326.868006
-5.122175,50,327.639579
-10.893708,50,328.436185
-9.774398,50,329.235037
-13.890585,50,330.002119
-7.663265,50,330.892627
-16.919076,50,331.6505
-9.049827,50,332.388021
-13.70891,50,333.175373
-10.310376,50,333.943228
-7.829124,50,334.694499
-8.444604,50,335.495413
-9.993975,50,336.258654
-23.132493,50,337.032007
-6.815863,50,337.813963
-10.419733,50,338.599586
-20.671205,50,339.40115
-18.022912,50,340.147143
-14.983237,50,340.916945
-14.613163,50,341.717294
-31.922763,50,342.507057
-4.49351,50,343.290707
